method,fraction,condition,ews,mean_tau,mean_nonseq,mean_seq,mean_lead,n_nets
largeb,0.2,DW $D$ asc,CVrel,0.7705,0.85,0.775,0.2615,40
largeb,0.3,DW $D$ asc,V,0.8326,0.975,0.95,0.4146,40
largeb,0.3,DW $D$ asc,CV,0.8106,0.925,0.85,0.304,40
largeb,0.3,DW $D$ asc,Vdelta,0.8324,0.95,0.95,0.3989,40
largeb,0.3,DW $D$ asc,Vrel,0.8328,0.95,0.95,0.3986,40
largeb,0.3,DW $D$ asc,CVrel,0.81,0.9,0.85,0.2945,40
largeb,0.4,DW $D$ asc,V,0.8631,1.0,0.975,0.4215,40
largeb,0.4,DW $D$ asc,CV,0.8404,0.975,0.95,0.3175,40
largeb,0.4,DW $D$ asc,Vdelta,0.863,0.95,0.925,0.4255,40
largeb,0.4,DW $D$ asc,Vrel,0.8638,0.975,0.95,0.4158,40
largeb,0.4,DW $D$ asc,CVrel,0.8404,0.9,0.875,0.3383,40
largeb,0.5,DW $D$ asc,V,0.8742,1.0,0.975,0.4419,40
largeb,0.5,DW $D$ asc,CV,0.8527,0.975,0.975,0.3237,40
largeb,0.5,DW $D$ asc,Vdelta,0.8728,0.95,0.925,0.425,40
largeb,0.5,DW $D$ asc,Vrel,0.8739,0.95,0.925,0.4238,40
largeb,0.5,DW $D$ asc,CVrel,0.8514,0.925,0.9,0.3354,40
largeb,0.6,DW $D$ asc,V,0.8826,1.0,0.975,0.457,40
largeb,0.6,DW $D$ asc,CV,0.8601,0.95,0.95,0.3592,40
largeb,0.6,DW $D$ asc,Vdelta,0.8823,0.95,0.925,0.4491,40
largeb,0.6,DW $D$ asc,Vrel,0.8831,0.95,0.925,0.4499,40
largeb,0.6,DW $D$ asc,CVrel,0.8597,0.925,0.925,0.3396,40
largeb,0.7,DW $D$ asc,V,0.8844,1.0,1.0,0.4588,40
largeb,0.7,DW $D$ asc,CV,0.8614,0.95,0.95,0.364,40
largeb,0.7,DW $D$ asc,Vdelta,0.8823,0.95,0.925,0.4352,40
largeb,0.7,DW $D$ asc,Vrel,0.8829,0.95,0.925,0.436,40
largeb,0.7,DW $D$ asc,CVrel,0.8594,0.925,0.925,0.3221,40
largeb,0.8,DW $D$ asc,V,0.8891,1.0,1.0,0.4589,40
largeb,0.8,DW $D$ asc,CV,0.8653,0.975,0.975,0.375,40
largeb,0.8,DW $D$ asc,Vdelta,0.8861,0.95,0.95,0.4341,40
largeb,0.8,DW $D$ asc,Vrel,0.8867,0.95,0.95,0.4347,40
largeb,0.8,DW $D$ asc,CVrel,0.8636,0.925,0.925,0.3122,40
largeb,0.9,DW $D$ asc,V,0.8879,1.0,1.0,0.4626,40
largeb,0.9,DW $D$ asc,CV,0.8631,0.975,0.975,0.3891,40
largeb,0.9,DW $D$ asc,Vdelta,0.8867,0.95,0.95,0.4342,40
largeb,0.9,DW $D$ asc,Vrel,0.8875,0.95,0.95,0.4318,40
largeb,0.9,DW $D$ asc,CVrel,0.8629,0.925,0.925,0.3099,40
largeb,1.0,DW $D$ asc,V,0.8857,1.0,1.0,0.4716,40
largeb,1.0,DW $D$ asc,CV,0.8589,0.975,0.975,0.4193,40
largeb,1.0,DW $D$ asc,Vdelta,0.8851,0.95,0.95,0.4207,40
largeb,1.0,DW $D$ asc,Vrel,0.8859,0.95,0.95,0.4178,40
largeb,1.0,DW $D$ asc,CVrel,0.8611,0.925,0.925,0.3146,40
smallb,0.05,DW $D$ asc,V,0.4143,0.45,0.425,0.246,40
smallb,0.05,DW $D$ asc,CV,0.3828,0.275,0.2,0.3089,40
smallb,0.05,DW $D$ asc,Vdelta,0.4194,0.425,0.4,0.2856,40
smallb,0.05,DW $D$ asc,Vrel,0.4194,0.425,0.4,0.2921,40
smallb,0.05,DW $D$ asc,CVrel,0.387,0.3,0.2,0.3441,40
smallb,0.1,DW $D$ asc,V,0.5738,0.625,0.6,0.3114,40
smallb,0.1,DW $D$ asc,CV,0.5384,0.375,0.325,0.198,40
smallb,0.1,DW $D$ asc,Vdelta,0.5768,0.6,0.6,0.2831,40
smallb,0.1,DW $D$ asc,Vrel,0.578,0.6,0.6,0.2837,40
smallb,0.1,DW $D$ asc,CVrel,0.5425,0.4,0.35,0.2286,40
smallb,0.2,DW $D$ asc,V,0.663,0.65,0.675,0.3488,40
smallb,0.2,DW $D$ asc,CV,0.624,0.625,0.55,0.2417,40
smallb,0.2,DW $D$ asc,Vdelta,0.6638,0.65,0.675,0.3456,40
smallb,0.2,DW $D$ asc,Vrel,0.6643,0.65,0.675,0.3456,40
smallb,0.2,DW $D$ asc,CVrel,0.6265,0.6,0.55,0.253,40
smallb,0.3,DW $D$ asc,V,0.7407,0.875,0.825,0.2773,40
smallb,0.3,DW $D$ asc,CV,0.7084,0.775,0.7,0.2208,40
smallb,0.3,DW $D$ asc,Vdelta,0.7437,0.825,0.85,0.2823,40
smallb,0.3,DW $D$ asc,Vrel,0.744,0.825,0.85,0.2801,40
smallb,0.3,DW $D$ asc,CVrel,0.7131,0.75,0.65,0.2025,40
smallb,0.4,DW $D$ asc,V,0.7653,0.875,0.875,0.3381,40
smallb,0.4,DW $D$ asc,CV,0.7342,0.825,0.75,0.2802,40
smallb,0.4,DW $D$ asc,Vdelta,0.7679,0.825,0.85,0.3086,40
smallb,0.4,DW $D$ asc,Vrel,0.7685,0.825,0.85,0.3083,40
smallb,0.4,DW $D$ asc,CVrel,0.7375,0.8,0.65,0.2588,40
smallb,0.5,DW $D$ asc,V,0.81,0.9,0.9,0.3759,40
smallb,0.5,DW $D$ asc,CV,0.7808,0.85,0.825,0.3312,40
smallb,0.5,DW $D$ asc,Vdelta,0.8086,0.85,0.875,0.3384,40
smallb,0.5,DW $D$ asc,Vrel,0.809,0.85,0.875,0.3371,40
smallb,0.5,DW $D$ asc,CVrel,0.7816,0.825,0.8,0.2526,40
smallb,0.6,DW $D$ asc,V,0.8262,0.9,0.9,0.3727,40
smallb,0.6,DW $D$ asc,CV,0.7993,0.85,0.85,0.294,40
smallb,0.6,DW $D$ asc,Vdelta,0.8252,0.9,0.9,0.3579,40
smallb,0.6,DW $D$ asc,Vrel,0.8258,0.9,0.9,0.3409,40
smallb,0.6,DW $D$ asc,CVrel,0.7998,0.85,0.85,0.2348,40
smallb,0.7,DW $D$ asc,V,0.8499,0.925,0.95,0.3939,40
smallb,0.7,DW $D$ asc,CV,0.8223,0.9,0.875,0.3278,40
smallb,0.7,DW $D$ asc,Vdelta,0.8498,0.925,0.925,0.407,40
smallb,0.7,DW $D$ asc,Vrel,0.8506,0.925,0.925,0.4041,40
smallb,0.7,DW $D$ asc,CVrel,0.8247,0.85,0.875,0.3123,40
smallb,0.8,DW $D$ asc,V,0.8668,0.975,0.975,0.4256,40
smallb,0.8,DW $D$ asc,CV,0.8396,0.95,0.925,0.3643,40
smallb,0.8,DW $D$ asc,Vdelta,0.8645,0.925,0.925,0.3887,40
smallb,0.8,DW $D$ asc,Vrel,0.8656,0.925,0.925,0.3894,40
smallb,0.8,DW $D$ asc,CVrel,0.8401,0.875,0.875,0.29,40
smallb,0.9,DW $D$ asc,V,0.8788,0.975,0.975,0.4449,40
smallb,0.9,DW $D$ asc,CV,0.853,0.95,0.95,0.3783,40
smallb,0.9,DW $D$ asc,Vdelta,0.8726,0.925,0.925,0.4092,40
smallb,0.9,DW $D$ asc,Vrel,0.8733,0.925,0.925,0.4073,40
smallb,0.9,DW $D$ asc,CVrel,0.8493,0.9,0.9,0.3034,40
smallb,1.0,DW $D$ asc,V,0.8857,1.0,1.0,0.4716,40
smallb,1.0,DW $D$ asc,CV,0.8589,0.975,0.975,0.4193,40
smallb,1.0,DW $D$ asc,Vdelta,0.8851,0.95,0.95,0.4207,40
smallb,1.0,DW $D$ asc,Vrel,0.8859,0.95,0.95,0.4178,40
smallb,1.0,DW $D$ asc,CVrel,0.8611,0.925,0.925,0.3146,40
dirb,0.05,DW $D$ asc,V,0.5806,0.65,0.6,0.3637,40
dirb,0.05,DW $D$ asc,CV,0.5568,0.5,0.35,0.2312,40
dirb,0.05,DW $D$ asc,Vdelta,0.5805,0.65,0.6,0.4048,40
dirb,0.05,DW $D$ asc,Vrel,0.5806,0.65,0.6,0.3957,40
dirb,0.05,DW $D$ asc,CVrel,0.5559,0.5,0.375,0.2141,40
dirb,0.1,DW $D$ asc,V,0.72,0.85,0.825,0.3673,40
dirb,0.1,DW $D$ asc,CV,0.6958,0.75,0.6,0.2801,40
dirb,0.1,DW $D$ asc,Vdelta,0.7193,0.85,0.825,0.3532,40
dirb,0.1,DW $D$ asc,Vrel,0.7197,0.825,0.825,0.3532,40
dirb,0.1,DW $D$ asc,CVrel,0.6943,0.75,0.6,0.2895,40
dirb,0.2,DW $D$ asc,V,0.7931,0.875,0.875,0.4456,40
dirb,0.2,DW $D$ asc,CV,0.771,0.85,0.8,0.2718,40
dirb,0.2,DW $D$ asc,Vdelta,0.7931,0.875,0.875,0.4447,40
dirb,0.2,DW $D$ asc,Vrel,0.7933,0.875,0.875,0.4438,40
dirb,0.2,DW $D$ asc,CVrel,0.7705,0.85,0.775,0.2615,40
dirb,0.3,DW $D$ asc,V,0.8326,0.975,0.95,0.4146,40
dirb,0.3,DW $D$ asc,CV,0.8106,0.925,0.85,0.304,40
dirb,0.3,DW $D$ asc,Vdelta,0.8324,0.95,0.95,0.3989,40
dirb,0.3,DW $D$ asc,Vrel,0.8328,0.95,0.95,0.3986,40
dirb,0.3,DW $D$ asc,CVrel,0.81,0.9,0.85,0.2945,40
dirb,0.4,DW $D$ asc,V,0.8631,1.0,0.975,0.4215,40
dirb,0.4,DW $D$ asc,CV,0.8404,0.975,0.95,0.3175,40
dirb,0.4,DW $D$ asc,Vdelta,0.863,0.95,0.925,0.4255,40
dirb,0.4,DW $D$ asc,Vrel,0.8638,0.975,0.95,0.4158,40
dirb,0.4,DW $D$ asc,CVrel,0.8404,0.9,0.875,0.3383,40
dirb,0.5,DW $D$ asc,V,0.8742,1.0,0.975,0.4419,40
dirb,0.5,DW $D$ asc,CV,0.8527,0.975,0.975,0.3237,40
dirb,0.5,DW $D$ asc,Vdelta,0.8728,0.95,0.925,0.425,40
dirb,0.5,DW $D$ asc,Vrel,0.8739,0.95,0.925,0.4238,40
dirb,0.5,DW $D$ asc,CVrel,0.8514,0.925,0.9,0.3354,40
dirb,0.6,DW $D$ asc,V,0.8826,1.0,0.975,0.457,40
dirb,0.6,DW $D$ asc,CV,0.8601,0.95,0.95,0.3592,40
dirb,0.6,DW $D$ asc,Vdelta,0.8823,0.95,0.925,0.4491,40
dirb,0.6,DW $D$ asc,Vrel,0.8831,0.95,0.925,0.4499,40
dirb,0.6,DW $D$ asc,CVrel,0.8597,0.925,0.925,0.3396,40
dirb,0.7,DW $D$ asc,V,0.8844,1.0,1.0,0.4588,40
dirb,0.7,DW $D$ asc,CV,0.8614,0.95,0.95,0.364,40
dirb,0.7,DW $D$ asc,Vdelta,0.8823,0.95,0.925,0.4352,40
dirb,0.7,DW $D$ asc,Vrel,0.8829,0.95,0.925,0.436,40
dirb,0.7,DW $D$ asc,CVrel,0.8594,0.925,0.925,0.3221,40
