method,fraction,condition,ews,mean_tau,mean_nonseq,mean_seq,mean_lead,n_nets
dirb,0.6,DW $u$ asc,CVrel,0.4162,0.475,0.275,0.193,40
dirb,0.7,DW $u$ asc,V,0.6841,0.625,0.65,0.1882,40
dirb,0.7,DW $u$ asc,CV,0.5463,0.55,0.475,0.115,40
dirb,0.7,DW $u$ asc,Vdelta,0.6133,0.65,0.65,0.2334,40
dirb,0.7,DW $u$ asc,Vrel,0.5702,0.525,0.6,0.2117,40
dirb,0.7,DW $u$ asc,CVrel,0.3969,0.425,0.325,0.0791,40
dirb,0.8,DW $u$ asc,V,0.6901,0.625,0.675,0.2329,40
dirb,0.8,DW $u$ asc,CV,0.55,0.55,0.475,0.1537,40
dirb,0.8,DW $u$ asc,Vdelta,0.6167,0.65,0.575,0.2004,40
dirb,0.8,DW $u$ asc,Vrel,0.5759,0.525,0.525,0.1942,40
dirb,0.8,DW $u$ asc,CVrel,0.3922,0.4,0.325,0.0895,40
dirb,0.9,DW $u$ asc,V,0.6909,0.625,0.65,0.2225,40
dirb,0.9,DW $u$ asc,CV,0.5447,0.55,0.475,0.1388,40
dirb,0.9,DW $u$ asc,Vdelta,0.6104,0.6,0.575,0.1993,40
dirb,0.9,DW $u$ asc,Vrel,0.5691,0.525,0.525,0.1819,40
dirb,0.9,DW $u$ asc,CVrel,0.3762,0.4,0.3,0.1067,40
dirb,1.0,DW $u$ asc,V,0.6854,0.625,0.65,0.2326,40
dirb,1.0,DW $u$ asc,CV,0.5277,0.575,0.525,0.1409,40
dirb,1.0,DW $u$ asc,Vdelta,0.6079,0.6,0.575,0.1943,40
dirb,1.0,DW $u$ asc,Vrel,0.5743,0.5,0.475,0.1511,40
dirb,1.0,DW $u$ asc,CVrel,0.3626,0.4,0.275,0.0389,40
halfb,0.05,DW $u$ asc,V,0.5128,0.575,0.5,0.1619,40
halfb,0.05,DW $u$ asc,CV,0.3833,0.2,0.1,0.2552,40
halfb,0.05,DW $u$ asc,Vdelta,0.4191,0.6,0.725,0.1772,40
halfb,0.05,DW $u$ asc,Vrel,0.344,0.575,0.6,0.0743,40
halfb,0.05,DW $u$ asc,CVrel,0.2378,0.35,0.2,0.0916,40
halfb,0.1,DW $u$ asc,V,0.5512,0.6,0.575,0.1402,40
halfb,0.1,DW $u$ asc,CV,0.4152,0.3,0.225,0.0597,40
halfb,0.1,DW $u$ asc,Vdelta,0.4658,0.675,0.725,0.1346,40
halfb,0.1,DW $u$ asc,Vrel,0.4,0.575,0.575,0.1108,40
halfb,0.1,DW $u$ asc,CVrel,0.2628,0.425,0.225,0.0798,40
halfb,0.2,DW $u$ asc,V,0.5866,0.675,0.625,0.2154,40
halfb,0.2,DW $u$ asc,CV,0.445,0.35,0.25,0.0867,40
halfb,0.2,DW $u$ asc,Vdelta,0.5115,0.65,0.7,0.1669,40
halfb,0.2,DW $u$ asc,Vrel,0.4615,0.65,0.575,0.1201,40
halfb,0.2,DW $u$ asc,CVrel,0.3,0.45,0.25,0.1034,40
halfb,0.3,DW $u$ asc,V,0.6046,0.625,0.625,0.2388,40
halfb,0.3,DW $u$ asc,CV,0.4596,0.425,0.375,0.202,40
halfb,0.3,DW $u$ asc,Vdelta,0.5339,0.65,0.7,0.1604,40
halfb,0.3,DW $u$ asc,Vrel,0.4843,0.575,0.575,0.117,40
halfb,0.3,DW $u$ asc,CVrel,0.3066,0.425,0.325,0.0981,40
halfb,0.4,DW $u$ asc,V,0.6195,0.625,0.65,0.2079,40
halfb,0.4,DW $u$ asc,CV,0.4705,0.425,0.4,0.1493,40
halfb,0.4,DW $u$ asc,Vdelta,0.5543,0.675,0.75,0.1691,40
halfb,0.4,DW $u$ asc,Vrel,0.511,0.55,0.6,0.2017,40
halfb,0.4,DW $u$ asc,CVrel,0.3267,0.425,0.275,0.1919,40
halfb,0.5,DW $u$ asc,V,0.6342,0.625,0.65,0.2386,40
halfb,0.5,DW $u$ asc,CV,0.4799,0.5,0.425,0.1107,40
halfb,0.5,DW $u$ asc,Vdelta,0.5639,0.65,0.625,0.1663,40
halfb,0.5,DW $u$ asc,Vrel,0.5231,0.525,0.475,0.1406,40
halfb,0.5,DW $u$ asc,CVrel,0.3332,0.425,0.275,0.1233,40
halfb,0.6,DW $u$ asc,V,0.6472,0.625,0.65,0.2475,40
halfb,0.6,DW $u$ asc,CV,0.4908,0.55,0.45,0.1141,40
halfb,0.6,DW $u$ asc,Vdelta,0.5755,0.625,0.65,0.2051,40
halfb,0.6,DW $u$ asc,Vrel,0.5382,0.475,0.5,0.1697,40
halfb,0.6,DW $u$ asc,CVrel,0.3448,0.425,0.3,0.1685,40
halfb,0.7,DW $u$ asc,V,0.6578,0.625,0.65,0.2481,40
halfb,0.7,DW $u$ asc,CV,0.4993,0.575,0.525,0.1383,40
halfb,0.7,DW $u$ asc,Vdelta,0.5869,0.625,0.6,0.1502,40
halfb,0.7,DW $u$ asc,Vrel,0.5482,0.475,0.475,0.1367,40
halfb,0.7,DW $u$ asc,CVrel,0.352,0.4,0.2,0.0572,40
halfb,0.8,DW $u$ asc,V,0.6667,0.625,0.65,0.2524,40
halfb,0.8,DW $u$ asc,CV,0.5088,0.6,0.525,0.1035,40
halfb,0.8,DW $u$ asc,Vdelta,0.5918,0.625,0.6,0.1606,40
halfb,0.8,DW $u$ asc,Vrel,0.5534,0.5,0.45,0.1309,40
halfb,0.8,DW $u$ asc,CVrel,0.3495,0.4,0.275,0.1819,40
halfb,0.9,DW $u$ asc,V,0.676,0.625,0.65,0.2454,40
halfb,0.9,DW $u$ asc,CV,0.5197,0.6,0.55,0.1302,40
halfb,0.9,DW $u$ asc,Vdelta,0.5995,0.6,0.625,0.2294,40
halfb,0.9,DW $u$ asc,Vrel,0.5637,0.5,0.5,0.1747,40
halfb,0.9,DW $u$ asc,CVrel,0.3569,0.4,0.3,0.0965,40
halfb,1.0,DW $u$ asc,V,0.6854,0.625,0.65,0.2326,40
halfb,1.0,DW $u$ asc,CV,0.5277,0.575,0.525,0.1409,40
halfb,1.0,DW $u$ asc,Vdelta,0.6079,0.6,0.575,0.1943,40
halfb,1.0,DW $u$ asc,Vrel,0.5743,0.5,0.475,0.1511,40
halfb,1.0,DW $u$ asc,CVrel,0.3626,0.4,0.275,0.0389,40
equidist,0.05,DW $u$ asc,V,0.4956,0.625,0.525,0.1607,40
equidist,0.05,DW $u$ asc,CV,0.3872,0.3,0.175,0.1113,40
equidist,0.05,DW $u$ asc,Vdelta,0.4221,0.6,0.675,0.1574,40
equidist,0.05,DW $u$ asc,Vrel,0.353,0.55,0.55,0.1284,40
equidist,0.05,DW $u$ asc,CVrel,0.2579,0.325,0.25,0.1782,40
equidist,0.1,DW $u$ asc,V,0.5321,0.6,0.525,0.1555,40
equidist,0.1,DW $u$ asc,CV,0.4142,0.3,0.325,0.0711,40
equidist,0.1,DW $u$ asc,Vdelta,0.4842,0.6,0.675,0.1535,40
equidist,0.1,DW $u$ asc,Vrel,0.4244,0.55,0.475,0.1384,40
equidist,0.1,DW $u$ asc,CVrel,0.3051,0.325,0.175,0.0631,40
equidist,0.2,DW $u$ asc,V,0.5696,0.65,0.575,0.156,40
equidist,0.2,DW $u$ asc,CV,0.4369,0.475,0.3,0.0888,40
equidist,0.2,DW $u$ asc,Vdelta,0.5048,0.65,0.675,0.166,40
equidist,0.2,DW $u$ asc,Vrel,0.4478,0.625,0.425,0.1135,40
equidist,0.2,DW $u$ asc,CVrel,0.2997,0.35,0.225,0.1951,40
equidist,0.3,DW $u$ asc,V,0.5937,0.625,0.575,0.1378,40
equidist,0.3,DW $u$ asc,CV,0.4464,0.425,0.3,0.075,40
equidist,0.3,DW $u$ asc,Vdelta,0.525,0.7,0.65,0.1227,40
equidist,0.3,DW $u$ asc,Vrel,0.4733,0.575,0.45,0.0674,40
equidist,0.3,DW $u$ asc,CVrel,0.3059,0.375,0.2,0.0293,40
equidist,0.4,DW $u$ asc,V,0.6087,0.625,0.55,0.1726,40
equidist,0.4,DW $u$ asc,CV,0.4604,0.5,0.4,0.0876,40
equidist,0.4,DW $u$ asc,Vdelta,0.5458,0.65,0.7,0.1376,40
equidist,0.4,DW $u$ asc,Vrel,0.4989,0.55,0.45,0.1131,40
equidist,0.4,DW $u$ asc,CVrel,0.3211,0.325,0.175,0.1407,40
equidist,0.5,DW $u$ asc,V,0.6323,0.625,0.625,0.2215,40
equidist,0.5,DW $u$ asc,CV,0.4844,0.45,0.375,0.1302,40
equidist,0.5,DW $u$ asc,Vdelta,0.5647,0.625,0.7,0.2213,40
equidist,0.5,DW $u$ asc,Vrel,0.5169,0.55,0.5,0.1823,40
equidist,0.5,DW $u$ asc,CVrel,0.3318,0.325,0.225,0.0404,40
equidist,0.6,DW $u$ asc,V,0.6474,0.625,0.625,0.1955,40
equidist,0.6,DW $u$ asc,CV,0.4946,0.575,0.425,0.1002,40
equidist,0.6,DW $u$ asc,Vdelta,0.577,0.65,0.6,0.2207,40
equidist,0.6,DW $u$ asc,Vrel,0.5364,0.55,0.55,0.1971,40
equidist,0.6,DW $u$ asc,CVrel,0.3382,0.325,0.225,0.1257,40
equidist,0.7,DW $u$ asc,V,0.6559,0.625,0.65,0.2089,40
equidist,0.7,DW $u$ asc,CV,0.4986,0.55,0.45,0.1428,40
equidist,0.7,DW $u$ asc,Vdelta,0.5879,0.65,0.65,0.1858,40
equidist,0.7,DW $u$ asc,Vrel,0.5488,0.55,0.575,0.1723,40
equidist,0.7,DW $u$ asc,CVrel,0.3479,0.4,0.275,0.0351,40
equidist,0.8,DW $u$ asc,V,0.6673,0.625,0.65,0.2035,40
equidist,0.8,DW $u$ asc,CV,0.5128,0.55,0.475,0.1038,40
equidist,0.8,DW $u$ asc,Vdelta,0.596,0.6,0.55,0.1676,40
equidist,0.8,DW $u$ asc,Vrel,0.5581,0.5,0.525,0.1598,40
equidist,0.8,DW $u$ asc,CVrel,0.3534,0.4,0.275,0.1137,40
equidist,0.9,DW $u$ asc,V,0.6777,0.625,0.65,0.2426,40
equidist,0.9,DW $u$ asc,CV,0.5236,0.575,0.5,0.1529,40
equidist,0.9,DW $u$ asc,Vdelta,0.6061,0.6,0.625,0.1963,40
equidist,0.9,DW $u$ asc,Vrel,0.5704,0.525,0.525,0.1903,40
equidist,0.9,DW $u$ asc,CVrel,0.3611,0.375,0.325,0.1039,40
equidist,1.0,DW $u$ asc,V,0.6854,0.625,0.65,0.2326,40
equidist,1.0,DW $u$ asc,CV,0.5277,0.575,0.525,0.1409,40
equidist,1.0,DW $u$ asc,Vdelta,0.6079,0.6,0.575,0.1943,40
equidist,1.0,DW $u$ asc,Vrel,0.5743,0.5,0.475,0.1511,40
equidist,1.0,DW $u$ asc,CVrel,0.3626,0.4,0.275,0.0389,40
smallcv,0.05,DW $u$ asc,V,0.3233,0.225,0.225,0.3104,40
smallcv,0.05,DW $u$ asc,CV,0.2204,0.1,0.025,0.5522,40
smallcv,0.05,DW $u$ asc,Vdelta,0.3,0.2,0.225,0.3469,40
smallcv,0.05,DW $u$ asc,Vrel,0.284,0.2,0.175,0.4374,40
smallcv,0.05,DW $u$ asc,CVrel,0.1937,0.0,0.1,0.6603,40
smallcv,0.1,DW $u$ asc,V,0.4248,0.275,0.25,0.1983,40
smallcv,0.1,DW $u$ asc,CV,0.3014,0.125,0.125,0.2699,40
smallcv,0.1,DW $u$ asc,Vdelta,0.3782,0.25,0.325,0.3133,40
smallcv,0.1,DW $u$ asc,Vrel,0.349,0.25,0.325,0.3028,40
smallcv,0.1,DW $u$ asc,CVrel,0.2208,0.05,0.1,0.5848,40
smallcv,0.2,DW $u$ asc,V,0.5143,0.35,0.3,0.1581,40
smallcv,0.2,DW $u$ asc,CV,0.3803,0.175,0.15,0.2633,40
smallcv,0.2,DW $u$ asc,Vdelta,0.4359,0.375,0.45,0.2453,40
smallcv,0.2,DW $u$ asc,Vrel,0.4031,0.35,0.35,0.2678,40
smallcv,0.2,DW $u$ asc,CVrel,0.2501,0.05,0.075,0.6742,40
smallcv,0.3,DW $u$ asc,V,0.5556,0.4,0.375,0.1971,40
smallcv,0.3,DW $u$ asc,CV,0.4127,0.175,0.175,0.2278,40
smallcv,0.3,DW $u$ asc,Vdelta,0.4633,0.375,0.475,0.3318,40
smallcv,0.3,DW $u$ asc,Vrel,0.4355,0.275,0.425,0.3899,40
smallcv,0.3,DW $u$ asc,CVrel,0.265,0.025,0.125,0.7443,40
smallcv,0.4,DW $u$ asc,V,0.5928,0.475,0.5,0.2645,40
smallcv,0.4,DW $u$ asc,CV,0.4475,0.275,0.25,0.2764,40
smallcv,0.4,DW $u$ asc,Vdelta,0.5066,0.4,0.475,0.3232,40
smallcv,0.4,DW $u$ asc,Vrel,0.4749,0.275,0.425,0.4233,40
smallcv,0.4,DW $u$ asc,CVrel,0.2951,0.075,0.175,0.5509,40
smallcv,0.5,DW $u$ asc,V,0.6257,0.5,0.5,0.2105,40
smallcv,0.5,DW $u$ asc,CV,0.4813,0.325,0.325,0.1354,40
smallcv,0.5,DW $u$ asc,Vdelta,0.5331,0.425,0.525,0.3474,40
smallcv,0.5,DW $u$ asc,Vrel,0.5001,0.325,0.5,0.4309,40
smallcv,0.5,DW $u$ asc,CVrel,0.3192,0.125,0.2,0.48,40
smallcv,0.6,DW $u$ asc,V,0.6569,0.55,0.575,0.2034,40
smallcv,0.6,DW $u$ asc,CV,0.5114,0.4,0.375,0.1362,40
smallcv,0.6,DW $u$ asc,Vdelta,0.5562,0.475,0.55,0.3014,40
smallcv,0.6,DW $u$ asc,Vrel,0.5232,0.35,0.375,0.2963,40
smallcv,0.6,DW $u$ asc,CVrel,0.3356,0.175,0.275,0.4928,40
smallcv,0.7,DW $u$ asc,V,0.6686,0.575,0.6,0.2083,40
smallcv,0.7,DW $u$ asc,CV,0.5241,0.4,0.375,0.1732,40
smallcv,0.7,DW $u$ asc,Vdelta,0.5656,0.475,0.525,0.3445,40
smallcv,0.7,DW $u$ asc,Vrel,0.5311,0.35,0.45,0.3545,40
smallcv,0.7,DW $u$ asc,CVrel,0.3315,0.175,0.25,0.2888,40
smallcv,0.8,DW $u$ asc,V,0.6764,0.6,0.6,0.2011,40
smallcv,0.8,DW $u$ asc,CV,0.5328,0.45,0.425,0.1148,40
smallcv,0.8,DW $u$ asc,Vdelta,0.574,0.5,0.6,0.3534,40
smallcv,0.8,DW $u$ asc,Vrel,0.537,0.375,0.525,0.3654,40
smallcv,0.8,DW $u$ asc,CVrel,0.3303,0.2,0.225,0.2725,40
smallcv,0.9,DW $u$ asc,V,0.6854,0.625,0.625,0.2162,40
smallcv,0.9,DW $u$ asc,CV,0.5359,0.525,0.5,0.1288,40
smallcv,0.9,DW $u$ asc,Vdelta,0.5901,0.5,0.55,0.2321,40
smallcv,0.9,DW $u$ asc,Vrel,0.5562,0.45,0.475,0.234,40
smallcv,0.9,DW $u$ asc,CVrel,0.3496,0.25,0.225,0.1138,40
smallcv,1.0,DW $u$ asc,V,0.6854,0.625,0.65,0.2326,40
smallcv,1.0,DW $u$ asc,CV,0.5277,0.575,0.525,0.1409,40
smallcv,1.0,DW $u$ asc,Vdelta,0.6079,0.6,0.575,0.1943,40
smallcv,1.0,DW $u$ asc,Vrel,0.5743,0.5,0.475,0.1511,40
smallcv,1.0,DW $u$ asc,CVrel,0.3626,0.4,0.275,0.0389,40
largecv,0.05,DW $u$ asc,V,0.1781,0.15,0.1,0.1687,40
largecv,0.05,DW $u$ asc,CV,0.0696,0.025,0.025,0.0263,40
largecv,0.05,DW $u$ asc,Vdelta,0.1016,0.175,0.225,0.2686,40
largecv,0.05,DW $u$ asc,Vrel,0.0825,0.175,0.25,0.3652,40
largecv,0.05,DW $u$ asc,CVrel,-0.0238,0.075,0.05,0.4185,40
largecv,0.1,DW $u$ asc,V,0.25,0.25,0.25,0.1261,40
largecv,0.1,DW $u$ asc,CV,0.1119,0.025,0.05,0.326,40
largecv,0.1,DW $u$ asc,Vdelta,0.1404,0.25,0.225,0.1435,40
largecv,0.1,DW $u$ asc,Vrel,0.112,0.2,0.225,0.1642,40
largecv,0.1,DW $u$ asc,CVrel,-0.0272,0.05,0.1,0.3495,40
largecv,0.2,DW $u$ asc,V,0.3625,0.45,0.425,0.1692,40
largecv,0.2,DW $u$ asc,CV,0.2002,0.175,0.1,0.115,40
largecv,0.2,DW $u$ asc,Vdelta,0.2548,0.4,0.475,0.1597,40
largecv,0.2,DW $u$ asc,Vrel,0.2215,0.3,0.35,0.1753,40
largecv,0.2,DW $u$ asc,CVrel,0.034,0.175,0.15,0.1702,40
largecv,0.3,DW $u$ asc,V,0.4174,0.45,0.45,0.1484,40
largecv,0.3,DW $u$ asc,CV,0.2412,0.25,0.2,0.1763,40
largecv,0.3,DW $u$ asc,Vdelta,0.3096,0.425,0.55,0.2353,40
largecv,0.3,DW $u$ asc,Vrel,0.2753,0.375,0.425,0.2012,40
largecv,0.3,DW $u$ asc,CVrel,0.0593,0.175,0.2,0.235,40
largecv,0.4,DW $u$ asc,V,0.4751,0.525,0.45,0.1851,40
largecv,0.4,DW $u$ asc,CV,0.2914,0.2,0.225,0.1649,40
largecv,0.4,DW $u$ asc,Vdelta,0.3613,0.475,0.55,0.1543,40
largecv,0.4,DW $u$ asc,Vrel,0.3265,0.4,0.425,0.1403,40
largecv,0.4,DW $u$ asc,CVrel,0.0921,0.275,0.225,0.042,40
largecv,0.5,DW $u$ asc,V,0.529,0.55,0.475,0.2023,40
largecv,0.5,DW $u$ asc,CV,0.3475,0.25,0.225,0.1511,40
largecv,0.5,DW $u$ asc,Vdelta,0.4396,0.6,0.6,0.1609,40
largecv,0.5,DW $u$ asc,Vrel,0.4048,0.45,0.425,0.1123,40
largecv,0.5,DW $u$ asc,CVrel,0.1573,0.375,0.275,0.055,40
largecv,0.6,DW $u$ asc,V,0.5597,0.575,0.575,0.2208,40
largecv,0.6,DW $u$ asc,CV,0.3817,0.325,0.275,0.0596,40
largecv,0.6,DW $u$ asc,Vdelta,0.5111,0.6,0.625,0.2148,40
largecv,0.6,DW $u$ asc,Vrel,0.4741,0.525,0.5,0.179,40
largecv,0.6,DW $u$ asc,CVrel,0.2399,0.425,0.375,0.0879,40
largecv,0.7,DW $u$ asc,V,0.5967,0.6,0.65,0.2361,40
largecv,0.7,DW $u$ asc,CV,0.4268,0.375,0.35,0.1419,40
largecv,0.7,DW $u$ asc,Vdelta,0.5607,0.675,0.625,0.2196,40
largecv,0.7,DW $u$ asc,Vrel,0.5248,0.475,0.5,0.1686,40
largecv,0.7,DW $u$ asc,CVrel,0.2975,0.45,0.3,0.1089,40
largecv,0.8,DW $u$ asc,V,0.6167,0.6,0.65,0.2673,40
largecv,0.8,DW $u$ asc,CV,0.4478,0.45,0.4,0.1001,40
largecv,0.8,DW $u$ asc,Vdelta,0.5789,0.625,0.575,0.1835,40
largecv,0.8,DW $u$ asc,Vrel,0.5484,0.45,0.475,0.1759,40
largecv,0.8,DW $u$ asc,CVrel,0.3264,0.4,0.25,0.1012,40
largecv,0.9,DW $u$ asc,V,0.6384,0.625,0.65,0.2578,40
largecv,0.9,DW $u$ asc,CV,0.4776,0.525,0.475,0.1495,40
largecv,0.9,DW $u$ asc,Vdelta,0.5905,0.625,0.6,0.2175,40
largecv,0.9,DW $u$ asc,Vrel,0.5599,0.475,0.475,0.1838,40
largecv,0.9,DW $u$ asc,CVrel,0.3432,0.4,0.325,0.0415,40
largecv,1.0,DW $u$ asc,V,0.6854,0.625,0.65,0.2326,40
largecv,1.0,DW $u$ asc,CV,0.5277,0.575,0.525,0.1409,40
largecv,1.0,DW $u$ asc,Vdelta,0.6079,0.6,0.575,0.1943,40
largecv,1.0,DW $u$ asc,Vrel,0.5743,0.5,0.475,0.1511,40
largecv,1.0,DW $u$ asc,CVrel,0.3626,0.4,0.275,0.0389,40
random,0.05,DW $u$ desc,V,0.6764,0.825,0.83,0.2282,40
random,0.05,DW $u$ desc,CV,0.714,0.85,0.765,0.1952,40
random,0.05,DW $u$ desc,Vdelta,0.6356,0.905,0.865,0.2871,40
random,0.05,DW $u$ desc,Vrel,0.6479,0.825,0.845,0.324,40
random,0.05,DW $u$ desc,CVrel,0.6775,0.865,0.795,0.2352,40
random,0.1,DW $u$ desc,V,0.7799,0.96,0.935,0.264,40
random,0.1,DW $u$ desc,CV,0.795,0.945,0.9,0.2388,40
random,0.1,DW $u$ desc,Vdelta,0.73,0.97,0.97,0.3393,40
random,0.1,DW $u$ desc,Vrel,0.7467,0.97,0.945,0.3654,40
random,0.1,DW $u$ desc,CVrel,0.7594,0.95,0.94,0.2723,40
random,0.2,DW $u$ desc,V,0.8442,1.0,0.99,0.3222,40
random,0.2,DW $u$ desc,CV,0.8636,0.99,0.98,0.2993,40
random,0.2,DW $u$ desc,Vdelta,0.8108,0.99,0.995,0.3818,40
random,0.2,DW $u$ desc,Vrel,0.8241,0.995,0.99,0.4035,40
random,0.2,DW $u$ desc,CVrel,0.8345,1.0,0.995,0.3451,40
random,0.3,DW $u$ desc,V,0.8734,1.0,1.0,0.3735,40
random,0.3,DW $u$ desc,CV,0.8957,1.0,1.0,0.3578,40
random,0.3,DW $u$ desc,Vdelta,0.8436,1.0,0.995,0.3957,40
random,0.3,DW $u$ desc,Vrel,0.8547,1.0,1.0,0.4229,40
random,0.3,DW $u$ desc,CVrel,0.8647,0.995,0.995,0.389,40
random,0.4,DW $u$ desc,V,0.8928,1.0,1.0,0.4017,40
random,0.4,DW $u$ desc,CV,0.9084,1.0,1.0,0.3818,40
random,0.4,DW $u$ desc,Vdelta,0.8629,1.0,1.0,0.4192,40
random,0.4,DW $u$ desc,Vrel,0.8766,1.0,1.0,0.4567,40
random,0.4,DW $u$ desc,CVrel,0.8824,1.0,1.0,0.3795,40
random,0.5,DW $u$ desc,V,0.905,1.0,1.0,0.4176,40
random,0.5,DW $u$ desc,CV,0.9184,1.0,1.0,0.4145,40
random,0.5,DW $u$ desc,Vdelta,0.8753,1.0,1.0,0.4432,40
random,0.5,DW $u$ desc,Vrel,0.8857,1.0,1.0,0.4755,40
random,0.5,DW $u$ desc,CVrel,0.8961,1.0,1.0,0.4063,40
random,0.6,DW $u$ desc,V,0.9143,1.0,1.0,0.4346,40
random,0.6,DW $u$ desc,CV,0.9265,1.0,1.0,0.4135,40
random,0.6,DW $u$ desc,Vdelta,0.8849,1.0,1.0,0.4481,40
random,0.6,DW $u$ desc,Vrel,0.896,1.0,1.0,0.4735,40
random,0.6,DW $u$ desc,CVrel,0.9048,1.0,1.0,0.4342,40
random,0.7,DW $u$ desc,V,0.9204,1.0,1.0,0.4522,40
random,0.7,DW $u$ desc,CV,0.9338,1.0,1.0,0.4354,40
random,0.7,DW $u$ desc,Vdelta,0.8932,1.0,1.0,0.4702,40
random,0.7,DW $u$ desc,Vrel,0.9032,1.0,1.0,0.4819,40
random,0.7,DW $u$ desc,CVrel,0.9117,1.0,1.0,0.4368,40
random,0.8,DW $u$ desc,V,0.9261,1.0,1.0,0.47,40
random,0.8,DW $u$ desc,CV,0.939,1.0,1.0,0.4548,40
random,0.8,DW $u$ desc,Vdelta,0.9005,1.0,1.0,0.4765,40
random,0.8,DW $u$ desc,Vrel,0.9102,1.0,1.0,0.4928,40
random,0.8,DW $u$ desc,CVrel,0.9187,1.0,1.0,0.453,40
random,0.9,DW $u$ desc,V,0.9305,1.0,1.0,0.4687,40
random,0.9,DW $u$ desc,CV,0.9427,1.0,1.0,0.4596,40
random,0.9,DW $u$ desc,Vdelta,0.9063,1.0,1.0,0.4777,40
random,0.9,DW $u$ desc,Vrel,0.9152,1.0,1.0,0.5027,40
random,0.9,DW $u$ desc,CVrel,0.9225,1.0,1.0,0.4579,40
random,1.0,DW $u$ desc,V,0.9345,1.0,1.0,0.4829,40
random,1.0,DW $u$ desc,CV,0.9456,1.0,1.0,0.4738,40
random,1.0,DW $u$ desc,Vdelta,0.9117,1.0,1.0,0.4976,40
random,1.0,DW $u$ desc,Vrel,0.9192,1.0,1.0,0.5124,40
random,1.0,DW $u$ desc,CVrel,0.9273,1.0,1.0,0.4466,40
largeb,0.05,DW $u$ desc,V,0.5254,0.325,0.2,0.1196,40
largeb,0.05,DW $u$ desc,CV,0.5783,0.35,0.2,0.187,40
largeb,0.05,DW $u$ desc,Vdelta,0.4547,0.4,0.425,0.2795,40
largeb,0.05,DW $u$ desc,Vrel,0.4956,0.45,0.55,0.3004,40
largeb,0.05,DW $u$ desc,CVrel,0.5159,0.475,0.4,0.1559,40
largeb,0.1,DW $u$ desc,V,0.6465,0.5,0.325,0.1924,40
largeb,0.1,DW $u$ desc,CV,0.6917,0.5,0.325,0.1942,40
largeb,0.1,DW $u$ desc,Vdelta,0.585,0.575,0.6,0.2593,40
largeb,0.1,DW $u$ desc,Vrel,0.6222,0.575,0.6,0.2907,40
largeb,0.1,DW $u$ desc,CVrel,0.6431,0.55,0.45,0.2318,40
largeb,0.2,DW $u$ desc,V,0.7675,0.7,0.625,0.2772,40
largeb,0.2,DW $u$ desc,CV,0.8038,0.7,0.625,0.2611,40
largeb,0.2,DW $u$ desc,Vdelta,0.709,0.775,0.725,0.316,40
largeb,0.2,DW $u$ desc,Vrel,0.7394,0.8,0.775,0.3616,40
largeb,0.2,DW $u$ desc,CVrel,0.759,0.75,0.75,0.2788,40
largeb,0.3,DW $u$ desc,V,0.8235,0.8,0.75,0.3784,40
largeb,0.3,DW $u$ desc,CV,0.8532,0.8,0.725,0.39,40
largeb,0.3,DW $u$ desc,Vdelta,0.7616,0.825,0.8,0.3535,40
largeb,0.3,DW $u$ desc,Vrel,0.7875,0.9,0.825,0.3668,40
largeb,0.3,DW $u$ desc,CVrel,0.8042,0.85,0.775,0.359,40
largeb,0.4,DW $u$ desc,V,0.8525,0.875,0.825,0.3597,40
largeb,0.4,DW $u$ desc,CV,0.8773,0.875,0.8,0.3527,40
largeb,0.4,DW $u$ desc,Vdelta,0.8014,0.925,0.875,0.3607,40
largeb,0.4,DW $u$ desc,Vrel,0.8224,0.95,0.925,0.3764,40
largeb,0.4,DW $u$ desc,CVrel,0.8375,0.925,0.85,0.3609,40
largeb,0.5,DW $u$ desc,V,0.872,0.925,0.9,0.3581,40
largeb,0.5,DW $u$ desc,CV,0.8943,0.925,0.85,0.3708,40
largeb,0.5,DW $u$ desc,Vdelta,0.8318,0.95,0.925,0.3748,40
largeb,0.5,DW $u$ desc,Vrel,0.8494,0.975,0.975,0.3975,40
largeb,0.5,DW $u$ desc,CVrel,0.8627,0.975,0.925,0.3486,40
largeb,0.6,DW $u$ desc,V,0.8912,0.95,0.95,0.371,40
largeb,0.6,DW $u$ desc,CV,0.9088,0.975,0.95,0.3582,40
largeb,0.6,DW $u$ desc,Vdelta,0.8537,1.0,1.0,0.3693,40
largeb,0.6,DW $u$ desc,Vrel,0.8688,1.0,1.0,0.4099,40
largeb,0.6,DW $u$ desc,CVrel,0.8812,1.0,1.0,0.3467,40
largeb,0.7,DW $u$ desc,V,0.904,0.975,1.0,0.399,40
largeb,0.7,DW $u$ desc,CV,0.9212,0.975,1.0,0.3914,40
largeb,0.7,DW $u$ desc,Vdelta,0.8719,1.0,1.0,0.42,40
largeb,0.7,DW $u$ desc,Vrel,0.8847,1.0,1.0,0.4356,40
largeb,0.7,DW $u$ desc,CVrel,0.8958,1.0,1.0,0.3974,40
largeb,0.8,DW $u$ desc,V,0.9167,1.0,1.0,0.4212,40
largeb,0.8,DW $u$ desc,CV,0.9303,1.0,1.0,0.4179,40
largeb,0.8,DW $u$ desc,Vdelta,0.8883,1.0,1.0,0.441,40
largeb,0.8,DW $u$ desc,Vrel,0.8985,1.0,1.0,0.4683,40
largeb,0.8,DW $u$ desc,CVrel,0.9085,1.0,1.0,0.4263,40
