cond,Lprime,ns_mean,ns_std,sq_mean,sq_std
DW $D$ asc,94,0.18,0.38419,0.1225,0.32786
DW $D$ asc,95,0.1775,0.38209,0.1225,0.32786
DW $D$ asc,96,0.18,0.38419,0.115,0.31902
DW $D$ asc,97,0.1825,0.38626,0.115,0.31902
DW $D$ asc,98,0.18,0.38419,0.1175,0.32202
DW $D$ asc,99,0.18,0.38419,0.1225,0.32786
DW $D$ asc,100,0.175,0.37997,0.125,0.33072
DW $D$ asc,101,0.1775,0.38209,0.1275,0.33353
DW $D$ asc,102,0.185,0.3883,0.13,0.3363
DW $D$ asc,103,0.1875,0.39031,0.1325,0.33903
DW $D$ asc,104,0.185,0.3883,0.1325,0.33903
DW $D$ asc,105,0.1775,0.38209,0.1375,0.34437
DW $D$ asc,106,0.175,0.37997,0.1325,0.33903
DW $D$ asc,107,0.17,0.37563,0.13,0.3363
DW $D$ asc,108,0.1675,0.37342,0.14,0.34699
DW $D$ asc,109,0.175,0.37997,0.135,0.34172
DW $D$ asc,110,0.18,0.38419,0.1475,0.3546
DW $D$ asc,111,0.185,0.3883,0.15,0.35707
DW $D$ asc,112,0.1825,0.38626,0.1625,0.36891
DW $D$ asc,113,0.185,0.3883,0.1625,0.36891
DW $D$ asc,114,0.1875,0.39031,0.165,0.37118
DW $D$ asc,115,0.1875,0.39031,0.1625,0.36891
DW $D$ asc,116,0.1925,0.39426,0.16,0.36661
DW $D$ asc,117,0.1925,0.39426,0.1675,0.37342
DW $D$ asc,118,0.19,0.3923,0.1625,0.36891
DW $D$ asc,119,0.1925,0.39426,0.16,0.36661
DW $D$ asc,120,0.195,0.3962,0.155,0.3619
DW $D$ asc,121,0.1975,0.39811,0.155,0.3619
DW $D$ asc,122,0.1975,0.39811,0.155,0.3619
DW $D$ asc,123,0.19,0.3923,0.15,0.35707
DW $D$ asc,124,0.1925,0.39426,0.165,0.37118
DW $D$ asc,125,0.195,0.3962,0.1625,0.36891
DW $D$ asc,126,0.195,0.3962,0.1625,0.36891
DW $D$ asc,127,0.19,0.3923,0.1675,0.37342
DW $D$ asc,128,0.1925,0.39426,0.1725,0.37781
DW $D$ asc,129,0.1875,0.39031,0.17,0.37563
DW $D$ asc,130,0.195,0.3962,0.1725,0.37781
DW $D$ asc,131,0.195,0.3962,0.1675,0.37342
DW $D$ asc,132,0.2,0.4,0.1625,0.36891
DW $D$ asc,133,0.1975,0.39811,0.1625,0.36891
DW $D$ asc,134,0.1975,0.39811,0.1625,0.36891
DW $D$ asc,135,0.1875,0.39031,0.1675,0.37342
DW $D$ asc,136,0.2,0.4,0.1675,0.37342
DW $D$ asc,137,0.1975,0.39811,0.17,0.37563
DW $D$ asc,138,0.195,0.3962,0.17,0.37563
DW $D$ asc,139,0.1975,0.39811,0.1675,0.37342
DW $D$ asc,140,0.2,0.4,0.165,0.37118
DW $D$ asc,141,0.1975,0.39811,0.1675,0.37342
DW $D$ asc,142,0.2,0.4,0.175,0.37997
DW $D$ asc,143,0.2025,0.40186,0.1725,0.37781
DW $D$ asc,144,0.2,0.4,0.17,0.37563
DW $D$ asc,145,0.2025,0.40186,0.175,0.37997
DW $D$ asc,146,0.2075,0.40552,0.17,0.37563
