condition,ews,variant,mean_tau,std_tau,frac_good_gt0.5,n
MUT $D$ desc,CV,delta,0.938,0.291,0.98,40
MUT $D$ desc,CV,rel,0.948,0.181,0.95,40
MUT $D$ desc,g1,raw,0.976,0.148,0.98,40
MUT $D$ desc,g1,delta,0.834,0.392,0.88,40
MUT $D$ desc,g1,rel,0.769,0.456,0.82,40
MUT $D$ desc,g2,raw,-0.287,0.926,0.32,40
MUT $D$ desc,g2,delta,0.492,0.768,0.7,40
MUT $D$ desc,g2,rel,0.561,0.569,0.62,40
MUT $D$ desc,IM,raw,-0.333,0.89,0.28,40
MUT $D$ desc,IM,delta,-0.313,0.843,0.25,40
MUT $D$ desc,IM,rel,-0.512,0.708,0.15,40
MUT $u$ desc,var,raw,0.996,0.025,1.0,40
MUT $u$ desc,var,delta,0.995,0.03,1.0,40
MUT $u$ desc,var,rel,0.995,0.03,1.0,40
MUT $u$ desc,CV,raw,0.997,0.021,1.0,40
MUT $u$ desc,CV,delta,-0.957,0.268,0.02,40
MUT $u$ desc,CV,rel,0.997,0.021,1.0,40
MUT $u$ desc,g1,raw,0.968,0.163,0.98,40
MUT $u$ desc,g1,delta,0.956,0.179,0.98,40
MUT $u$ desc,g1,rel,0.958,0.179,0.98,40
MUT $u$ desc,g2,raw,-0.778,0.504,0.08,40
MUT $u$ desc,g2,delta,-0.503,0.775,0.2,40
MUT $u$ desc,g2,rel,-0.511,0.774,0.2,40
MUT $u$ desc,IM,raw,0.552,0.729,0.75,40
MUT $u$ desc,IM,delta,-0.052,0.842,0.4,40
MUT $u$ desc,IM,rel,-0.001,0.862,0.45,40
GR $D$ desc,var,raw,-0.964,0.191,0.0,40
GR $D$ desc,var,delta,0.981,0.116,0.98,40
GR $D$ desc,var,rel,0.797,0.455,0.9,40
GR $D$ desc,CV,raw,-0.012,0.909,0.42,40
GR $D$ desc,CV,delta,0.705,0.587,0.82,40
GR $D$ desc,CV,rel,0.995,0.034,1.0,40
GR $D$ desc,g1,raw,0.521,0.71,0.68,40
GR $D$ desc,g1,delta,-0.289,0.8,0.25,40
GR $D$ desc,g1,rel,-0.548,0.658,0.12,40
GR $D$ desc,g2,raw,-0.582,0.672,0.15,40
GR $D$ desc,g2,delta,-0.2,0.854,0.35,40
GR $D$ desc,g2,rel,-0.448,0.682,0.15,40
GR $D$ desc,IM,raw,0.985,0.088,0.98,40
GR $D$ desc,IM,delta,-0.451,0.759,0.18,40
GR $D$ desc,IM,rel,0.414,0.728,0.6,40
GR $u$ desc,var,raw,-0.568,0.802,0.2,40
GR $u$ desc,var,delta,0.977,0.142,0.98,40
GR $u$ desc,var,rel,0.975,0.152,0.98,40
GR $u$ desc,CV,raw,0.994,0.038,1.0,40
GR $u$ desc,CV,delta,-0.854,0.378,0.02,40
GR $u$ desc,CV,rel,0.992,0.048,1.0,40
GR $u$ desc,g1,raw,0.454,0.834,0.7,40
GR $u$ desc,g1,delta,-0.139,0.807,0.38,40
GR $u$ desc,g1,rel,0.059,0.818,0.42,40
GR $u$ desc,g2,raw,-0.452,0.846,0.25,40
GR $u$ desc,g2,delta,-0.134,0.783,0.35,40
GR $u$ desc,g2,rel,0.004,0.807,0.4,40
GR $u$ desc,IM,raw,0.978,0.117,0.98,40
GR $u$ desc,IM,delta,0.25,0.851,0.57,40
GR $u$ desc,IM,rel,0.362,0.796,0.65,40
