cond,Lprime,mean,std
DW $D$ asc,134,0.21251,0.22542
DW $D$ asc,135,0.21279,0.22592
DW $D$ asc,136,0.21385,0.22609
DW $D$ asc,137,0.21468,0.22592
DW $D$ asc,138,0.21455,0.22666
DW $D$ asc,139,0.21503,0.22593
DW $D$ asc,140,0.21616,0.22601
DW $D$ asc,141,0.21629,0.22642
DW $D$ asc,142,0.2172,0.22702
DW $D$ asc,143,0.21772,0.22743
DW $D$ asc,144,0.21878,0.22805
DW $D$ asc,145,0.21934,0.22825
DW $D$ asc,146,0.22004,0.22909
DW $D$ asc,147,0.22077,0.22926
DW $D$ asc,148,0.22058,0.2296
DW $D$ asc,149,0.2206,0.22977
DW $D$ asc,150,0.22112,0.23069
DW $D$ asc,151,0.22167,0.23105
DW $D$ asc,152,0.22215,0.23122
DW $D$ asc,153,0.2227,0.23158
DW $D$ asc,154,0.22293,0.23203
DW $D$ asc,155,0.22308,0.2322
DW $D$ asc,156,0.22404,0.23193
DW $D$ asc,157,0.22435,0.23255
DW $D$ asc,158,0.22509,0.23307
DW $D$ asc,159,0.22541,0.23314
DW $D$ asc,160,0.22585,0.23359
DW $D$ asc,161,0.22659,0.23445
DW $D$ asc,162,0.22755,0.23465
DW $D$ asc,163,0.22884,0.23466
DW $D$ asc,164,0.23001,0.23455
DW $D$ asc,165,0.23073,0.23486
DW $D$ asc,166,0.23051,0.23568
DW $D$ asc,167,0.23081,0.23586
DW $D$ asc,168,0.2309,0.23682
DW $D$ asc,169,0.23108,0.23673
DW $D$ asc,170,0.23142,0.23691
DW $D$ asc,171,0.23127,0.2372
DW $D$ asc,172,0.2319,0.23771
DW $D$ asc,173,0.23183,0.23811
DW $D$ asc,174,0.23261,0.23809
DW $D$ asc,175,0.23318,0.23797
DW $D$ asc,176,0.23338,0.23728
DW $D$ asc,177,0.23399,0.23744
DW $D$ asc,178,0.23427,0.23775
DW $D$ asc,179,0.2349,0.23739
DW $D$ asc,180,0.23502,0.23754
DW $D$ asc,181,0.23559,0.23766
DW $D$ asc,182,0.23679,0.23812
DW $D$ asc,183,0.23686,0.23827
DW $D$ asc,184,0.23747,0.23869
DW $D$ asc,185,0.23802,0.23905
DW $D$ asc,186,0.23789,0.23967
DW $D$ asc,187,0.23823,0.24
DW $D$ asc,188,0.23974,0.23976
DW $D$ asc,189,0.23999,0.24047
DW $D$ asc,190,0.24047,0.24004
DW $D$ asc,191,0.24042,0.23972
DW $D$ asc,192,0.24109,0.24039
DW $D$ asc,193,0.24146,0.24101
DW $D$ asc,194,0.24119,0.24129
DW $D$ asc,195,0.24161,0.24134
DW $D$ asc,196,0.24151,0.24151
DW $D$ asc,197,0.24169,0.24169
DW $D$ asc,198,0.24201,0.24196
DW $D$ asc,199,0.24226,0.24263
DW $D$ asc,200,0.243,0.24279
DW $D$ desc,2,0.08918,0.07855
DW $D$ desc,3,0.14073,0.08558
DW $D$ desc,4,0.17422,0.09932
DW $D$ desc,5,0.20123,0.10566
DW $D$ desc,6,0.22423,0.10828
DW $D$ desc,7,0.24638,0.11167
DW $D$ desc,8,0.2636,0.11425
DW $D$ desc,9,0.28103,0.11943
DW $D$ desc,10,0.29533,0.12188
DW $D$ desc,11,0.30756,0.12636
DW $D$ desc,12,0.31949,0.12652
DW $D$ desc,13,0.33058,0.12732
DW $D$ desc,14,0.33993,0.12795
DW $D$ desc,15,0.35127,0.13083
DW $D$ desc,16,0.36155,0.13263
DW $D$ desc,17,0.37022,0.13306
DW $D$ desc,18,0.37946,0.13472
DW $D$ desc,19,0.38893,0.13584
DW $D$ desc,20,0.3967,0.13671
DW $D$ desc,21,0.40426,0.13689
DW $D$ desc,22,0.41129,0.13709
DW $D$ desc,23,0.41856,0.13722
DW $D$ desc,24,0.42576,0.13807
DW $D$ desc,25,0.43142,0.13852
DW $D$ desc,26,0.43775,0.13874
DW $D$ desc,27,0.44161,0.14015
DW $D$ desc,28,0.44745,0.14142
DW $D$ desc,29,0.45227,0.14182
DW $D$ desc,30,0.45761,0.14256
DW $D$ desc,31,0.46356,0.14245
DW $D$ desc,32,0.46854,0.14197
DW $D$ desc,33,0.47275,0.14401
DW $D$ desc,34,0.47722,0.14405
DW $D$ desc,35,0.48116,0.14412
DW $D$ desc,36,0.48525,0.14395
DW $D$ desc,37,0.48927,0.14421
DW $D$ desc,38,0.49398,0.14453
DW $D$ desc,39,0.49829,0.14447
DW $D$ desc,40,0.5023,0.14508
DW $D$ desc,41,0.50557,0.14572
DW $D$ desc,42,0.50865,0.14643
DW $D$ desc,43,0.51188,0.14658
DW $D$ desc,44,0.51559,0.14736
DW $D$ desc,45,0.5184,0.14799
DW $D$ desc,46,0.52164,0.1474
DW $D$ desc,47,0.5247,0.14713
DW $D$ desc,48,0.52846,0.14756
DW $D$ desc,49,0.53233,0.14756
DW $D$ desc,50,0.53514,0.14737
DW $D$ desc,51,0.53887,0.14833
DW $D$ desc,52,0.5411,0.14797
DW $D$ desc,53,0.54449,0.14692
DW $D$ desc,54,0.54787,0.14734
DW $D$ desc,55,0.55086,0.14723
DW $D$ desc,56,0.55366,0.14642
DW $D$ desc,57,0.55589,0.14625
DW $D$ desc,58,0.55805,0.14732
DW $D$ desc,59,0.56081,0.1473
DW $D$ desc,60,0.56353,0.14796
DW $D$ desc,61,0.56634,0.14808
DW $D$ desc,62,0.56873,0.14814
DW $D$ desc,63,0.57129,0.1476
DW $D$ desc,64,0.57357,0.1476
DW $D$ desc,65,0.57581,0.14882
DW $D$ desc,66,0.57777,0.14961
DW $D$ desc,67,0.57979,0.14969
DW $D$ desc,68,0.5821,0.14933
DW $D$ desc,69,0.58436,0.14864
DW $D$ desc,70,0.58643,0.14961
DW $D$ desc,71,0.58829,0.14929
DW $D$ desc,72,0.5901,0.1495
DW $D$ desc,73,0.59155,0.14888
DW $D$ desc,74,0.59362,0.1497
DW $D$ desc,75,0.59561,0.15022
DW $D$ desc,76,0.59773,0.15029
DW $D$ desc,77,0.59899,0.14974
DW $D$ desc,78,0.60026,0.15045
DW $D$ desc,79,0.60204,0.15114
DW $D$ desc,80,0.60371,0.15137
DW $D$ desc,81,0.6054,0.15184
DW $D$ desc,82,0.60686,0.15195
DW $D$ desc,83,0.60863,0.15175
DW $D$ desc,84,0.60968,0.15242
DW $D$ desc,85,0.61092,0.15245
DW $D$ desc,86,0.61288,0.15211
DW $D$ desc,87,0.61437,0.15231
DW $D$ desc,88,0.61602,0.15257
DW $D$ desc,89,0.61748,0.15291
DW $D$ desc,90,0.61877,0.15237
DW $D$ desc,91,0.62053,0.15224
DW $D$ desc,92,0.62195,0.15277
DW $D$ desc,93,0.62327,0.15293
DW $D$ desc,94,0.62393,0.15346
DW $D$ desc,95,0.62565,0.15304
DW $D$ desc,96,0.62693,0.15324
DW $D$ desc,97,0.62897,0.15392
DW $D$ desc,98,0.63026,0.15394
DW $D$ desc,99,0.63173,0.15417
DW $D$ desc,100,0.63337,0.15412
DW $D$ desc,101,0.63482,0.15388
DW $D$ desc,102,0.63572,0.15419
DW $D$ desc,103,0.63672,0.15429
DW $D$ desc,104,0.6383,0.15438
DW $D$ desc,105,0.63939,0.15437
DW $D$ desc,106,0.6405,0.15415
DW $D$ desc,107,0.64169,0.15427
DW $D$ desc,108,0.64325,0.15441
DW $D$ desc,109,0.64405,0.15499
DW $D$ desc,110,0.64538,0.15485
DW $D$ desc,111,0.64662,0.155
DW $D$ desc,112,0.64756,0.15532
DW $D$ desc,113,0.64893,0.15605
DW $D$ desc,114,0.65019,0.15606
DW $D$ desc,115,0.651,0.15666
DW $D$ desc,116,0.65177,0.15697
DW $D$ desc,117,0.65281,0.15718
DW $D$ desc,118,0.65374,0.15742
DW $D$ desc,119,0.65473,0.15789
DW $D$ desc,120,0.65586,0.15757
DW $D$ desc,121,0.65715,0.15766
DW $D$ desc,122,0.65823,0.15811
DW $D$ desc,123,0.65919,0.15801
DW $D$ desc,124,0.66012,0.15823
DW $D$ desc,125,0.66133,0.15842
DW $D$ desc,126,0.66229,0.15791
DW $D$ desc,127,0.66327,0.15798
DW $D$ desc,128,0.66404,0.15761
DW $D$ desc,129,0.66481,0.1579
DW $D$ desc,130,0.66609,0.15781
DW $D$ desc,131,0.66718,0.15774
DW $D$ desc,132,0.66802,0.15701
DW $D$ desc,133,0.66911,0.15728
DW $D$ desc,134,0.67007,0.1573
DW $D$ desc,135,0.67042,0.15737
DW $D$ desc,136,0.67131,0.157
DW $D$ desc,137,0.67205,0.15727
DW $D$ desc,138,0.67309,0.15756
DW $D$ desc,139,0.67395,0.15718
DW $D$ desc,140,0.675,0.15747
DW $D$ desc,141,0.67592,0.15724
DW $D$ desc,142,0.67652,0.15696
DW $D$ desc,143,0.67695,0.15693
DW $D$ desc,144,0.67776,0.15696
DW $D$ desc,145,0.6787,0.15657
DW $D$ desc,146,0.6791,0.1566
DW $D$ desc,147,0.67992,0.1563
DW $D$ desc,148,0.68088,0.15641
DW $D$ desc,149,0.68142,0.15674
DW $D$ desc,150,0.68229,0.1573
DW $D$ desc,151,0.6832,0.15761
DW $D$ desc,152,0.68369,0.15765
DW $D$ desc,153,0.68438,0.15786
DW $D$ desc,154,0.68507,0.15791
DW $D$ desc,155,0.68571,0.1579
DW $D$ desc,156,0.68627,0.15805
DW $D$ desc,157,0.6866,0.1583
DW $D$ desc,158,0.68772,0.15837
DW $D$ desc,159,0.68842,0.15852
DW $D$ desc,160,0.6894,0.15823
DW $D$ desc,161,0.69003,0.15844
DW $D$ desc,162,0.6909,0.1582
DW $D$ desc,163,0.69159,0.15839
DW $D$ desc,164,0.69233,0.15836
DW $D$ desc,165,0.69282,0.15833
DW $D$ desc,166,0.69351,0.15856
DW $D$ desc,167,0.69395,0.1586
DW $D$ desc,168,0.69488,0.1588
DW $D$ desc,169,0.69549,0.15923
DW $D$ desc,170,0.69649,0.15868
DW $D$ desc,171,0.69717,0.15816
DW $D$ desc,172,0.6977,0.15842
DW $D$ desc,173,0.69827,0.15857
DW $D$ desc,174,0.69904,0.15828
DW $D$ desc,175,0.69987,0.15815
DW $D$ desc,176,0.70054,0.15843
DW $D$ desc,177,0.70107,0.15808
DW $D$ desc,178,0.70178,0.15813
DW $D$ desc,179,0.70241,0.15798
DW $D$ desc,180,0.703,0.15836
DW $D$ desc,181,0.70368,0.15883
DW $D$ desc,182,0.70466,0.15826
DW $D$ desc,183,0.70512,0.15869
DW $D$ desc,184,0.70593,0.15808
DW $D$ desc,185,0.70651,0.15781
DW $D$ desc,186,0.70735,0.15746
DW $D$ desc,187,0.70806,0.15755
DW $D$ desc,188,0.7086,0.15728
DW $D$ desc,189,0.70932,0.15699
DW $D$ desc,190,0.70981,0.15713
DW $D$ desc,191,0.71025,0.15733
DW $D$ desc,192,0.7109,0.15725
DW $D$ desc,193,0.71124,0.15761
DW $D$ desc,194,0.712,0.15775
DW $D$ desc,195,0.71216,0.15806
DW $D$ desc,196,0.71314,0.1578
DW $D$ desc,197,0.71394,0.15804
DW $D$ desc,198,0.71443,0.15858
DW $D$ desc,199,0.71501,0.15814
DW $D$ desc,200,0.71559,0.15792
DW $u$ asc,2,0.0331,0.09376
DW $u$ asc,3,0.05648,0.10368
DW $u$ asc,4,0.07261,0.1089
DW $u$ asc,5,0.08804,0.11559
DW $u$ asc,6,0.09763,0.1253
DW $u$ asc,7,0.10506,0.13108
DW $u$ asc,8,0.11726,0.13696
DW $u$ asc,9,0.12602,0.14328
DW $u$ asc,10,0.13271,0.14799
DW $u$ asc,11,0.13851,0.15395
DW $u$ asc,12,0.14743,0.1582
DW $u$ asc,13,0.15188,0.16165
DW $u$ asc,14,0.15881,0.16347
DW $u$ asc,15,0.16454,0.16667
DW $u$ asc,16,0.16854,0.16982
DW $u$ asc,17,0.17302,0.17163
DW $u$ asc,18,0.17845,0.17493
DW $u$ asc,19,0.18495,0.17791
DW $u$ asc,20,0.18938,0.18077
DW $u$ asc,21,0.193,0.18247
DW $u$ asc,22,0.19829,0.18475
DW $u$ asc,23,0.20058,0.1879
DW $u$ asc,24,0.20381,0.18939
DW $u$ asc,25,0.20891,0.19125
DW $u$ asc,26,0.21205,0.19327
DW $u$ asc,27,0.21562,0.19567
DW $u$ asc,28,0.21922,0.19854
DW $u$ asc,29,0.22162,0.201
DW $u$ asc,30,0.22392,0.20424
DW $u$ asc,31,0.22673,0.20559
DW $u$ asc,32,0.22967,0.20867
DW $u$ asc,33,0.23272,0.20982
DW $u$ asc,34,0.23472,0.21145
DW $u$ asc,35,0.23662,0.21289
DW $u$ asc,36,0.2398,0.21401
DW $u$ asc,37,0.24138,0.2158
DW $u$ asc,38,0.24315,0.21864
DW $u$ asc,39,0.24601,0.22017
DW $u$ asc,40,0.24801,0.22213
DW $u$ asc,41,0.24956,0.22371
DW $u$ asc,42,0.25161,0.2248
DW $u$ asc,43,0.25169,0.22685
DW $u$ asc,44,0.25367,0.22792
DW $u$ asc,45,0.25567,0.22894
DW $u$ asc,46,0.25749,0.23011
DW $u$ asc,47,0.25949,0.23053
DW $u$ asc,48,0.26176,0.23155
DW $u$ asc,49,0.26323,0.23311
DW $u$ asc,50,0.265,0.23449
DW $u$ asc,51,0.26745,0.23459
DW $u$ asc,52,0.2685,0.2362
DW $u$ asc,53,0.27009,0.23806
DW $u$ asc,54,0.27191,0.23825
DW $u$ asc,55,0.27298,0.24007
DW $u$ asc,56,0.27356,0.24138
DW $u$ asc,57,0.27585,0.24186
DW $u$ asc,58,0.27724,0.24214
DW $u$ asc,59,0.27847,0.24278
DW $u$ asc,60,0.28108,0.24214
DW $u$ asc,61,0.28339,0.24344
DW $u$ asc,62,0.28429,0.245
DW $u$ asc,63,0.28516,0.24588
DW $u$ asc,64,0.28583,0.2461
DW $u$ asc,65,0.28676,0.24701
DW $u$ asc,66,0.28846,0.24789
DW $u$ asc,67,0.29142,0.24755
DW $u$ asc,68,0.29293,0.24814
DW $u$ asc,69,0.29442,0.24904
DW $u$ asc,70,0.29559,0.2503
DW $u$ asc,71,0.29761,0.25037
DW $u$ asc,72,0.29914,0.25065
DW $u$ asc,73,0.30102,0.25062
DW $u$ asc,74,0.30203,0.25208
DW $u$ asc,75,0.30324,0.25226
DW $u$ asc,76,0.30433,0.25272
DW $u$ asc,77,0.30536,0.25368
DW $u$ asc,78,0.30643,0.25415
DW $u$ asc,79,0.30737,0.2558
DW $u$ asc,80,0.30861,0.25597
DW $u$ asc,81,0.30931,0.25615
DW $u$ asc,82,0.3104,0.2573
DW $u$ asc,83,0.3118,0.25822
DW $u$ asc,84,0.31338,0.25857
DW $u$ asc,85,0.31444,0.25919
DW $u$ asc,86,0.31493,0.26047
DW $u$ asc,87,0.31606,0.26109
DW $u$ asc,88,0.31809,0.26161
DW $u$ asc,89,0.32037,0.2611
DW $u$ asc,90,0.32149,0.26184
DW $u$ asc,91,0.32198,0.26249
DW $u$ asc,92,0.3226,0.26325
DW $u$ asc,93,0.32338,0.2633
DW $u$ asc,94,0.3245,0.26374
DW $u$ asc,95,0.32527,0.265
DW $u$ asc,96,0.32665,0.26442
DW $u$ asc,97,0.32772,0.26491
DW $u$ asc,98,0.32844,0.26577
DW $u$ asc,99,0.32925,0.26664
DW $u$ asc,100,0.32974,0.26808
DW $u$ asc,101,0.33053,0.26881
DW $u$ asc,102,0.33144,0.26916
DW $u$ asc,103,0.33156,0.27003
DW $u$ asc,104,0.33265,0.27067
DW $u$ asc,105,0.33416,0.27086
DW $u$ asc,106,0.33522,0.27067
DW $u$ asc,107,0.33554,0.27135
DW $u$ asc,108,0.33701,0.27154
DW $u$ asc,109,0.3375,0.27158
DW $u$ asc,110,0.33911,0.27202
DW $u$ asc,111,0.33991,0.27204
DW $u$ asc,112,0.34043,0.27242
DW $u$ asc,113,0.34075,0.27333
DW $u$ asc,114,0.34222,0.27379
DW $u$ asc,115,0.34257,0.27354
DW $u$ asc,116,0.34368,0.27434
DW $u$ asc,117,0.34461,0.27501
DW $u$ asc,118,0.34588,0.27469
DW $u$ asc,119,0.34645,0.27469
DW $u$ asc,120,0.34786,0.27452
DW $u$ asc,121,0.3486,0.27617
DW $u$ asc,122,0.35007,0.27631
DW $u$ asc,123,0.35047,0.27632
DW $u$ asc,124,0.35053,0.27698
DW $u$ asc,125,0.35165,0.2774
DW $u$ asc,126,0.35183,0.27858
DW $u$ asc,127,0.35233,0.2782
DW $u$ asc,128,0.35277,0.27882
DW $u$ asc,129,0.35384,0.27877
DW $u$ asc,130,0.35472,0.27845
DW $u$ asc,131,0.35599,0.27853
DW $u$ asc,132,0.35631,0.27862
DW $u$ asc,133,0.35699,0.27898
DW $u$ asc,134,0.35763,0.2796
DW $u$ asc,135,0.3584,0.27984
DW $u$ asc,136,0.35875,0.28024
DW $u$ asc,137,0.35979,0.28069
DW $u$ asc,138,0.36025,0.28142
DW $u$ asc,139,0.36075,0.28162
DW $u$ asc,140,0.3614,0.28208
DW $u$ asc,141,0.36241,0.28197
DW $u$ asc,142,0.3635,0.2818
DW $u$ asc,143,0.36426,0.28187
DW $u$ asc,144,0.36449,0.28269
DW $u$ asc,145,0.36524,0.28251
DW $u$ asc,146,0.36638,0.28256
DW $u$ asc,147,0.36719,0.28269
DW $u$ asc,148,0.36746,0.28319
DW $u$ asc,149,0.36906,0.28294
