"dynamics","cparam","direction","network","network_name","N","rng.far","rng.near","deltaT","D","u","home_len","home_boundary"
"mutualistic","u","down","barabasialbert","BA",100,0.0,-3.0,0.01,0.05,"NA",96,-2.878788
"mutualistic","u","down","canton","Canton",109,0.0,-3.0,0.01,0.05,"NA",94,-2.818182
"mutualistic","u","down","catlins","Catlins",59,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","chesapeake","Chesapeake",39,0.0,-4.0,0.01,0.05,"NA",74,-2.949495
"mutualistic","u","down","contigusa","Geographic",49,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","dolphin","Dolphin",62,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","drug","Drug interaction",75,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","ecoli","E. coli",328,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","email_company","Email",167,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","erdos","Erdős collaboration",6927,0.004187,-3.317612,0.001,0.05,"NA",84,-2.780755
"mutualistic","u","down","erdosrenyi","ER",100,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","flamingo","Flamingo software",228,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","football","Football",115,0.0,-4.0,0.01,0.05,"NA",83,-3.313131
"mutualistic","u","down","gap_junction_herm","C. elegans neuronal",460,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","genefusion","Gene fusion",110,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","gkk","GKK",96,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","hk100","HK",100,0.0,-3.0,0.01,0.05,"NA",96,-2.878788
"mutualistic","u","down","iceland","Contact",75,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","jazz","Jazz player",198,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","jung_c","JUNG software",879,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","lattice","Lattice",100,0.0,-4.0,0.01,0.05,"NA",75,-2.989899
"mutualistic","u","down","london_transport","Transportation",369,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","metabolic","C. elegans metabolic",453,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","montreal","Montreal",29,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","netsci","Coauthorship",379,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","physician_trust","Physician",117,0.0,-3.0,0.01,0.05,"NA",96,-2.878788
"mutualistic","u","down","powergrid","US power grid",4941,0.004187,-3.317612,0.001,0.05,"NA",84,-2.780755
"mutualistic","u","down","protein","Protein",161,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","proximity","Proximity",410,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","routeviews","Route views",6474,0.004187,-3.317612,0.001,0.05,"NA",84,-2.780755
"mutualistic","u","down","smallworld","WS",100,0.0,-4.0,0.01,0.05,"NA",80,-3.191919
"mutualistic","u","down","students","Student",141,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","train_terrorists","Terrorist",64,0.0,-3.0,0.01,0.05,"NA",94,-2.818182
"mutualistic","u","down","ug_village","Village",187,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","urv_email","U. Rovira i Virgili",1133,0.004187,-3.317612,0.001,0.05,"NA",84,-2.780755
"mutualistic","u","down","wiki_ht","Wikipedia user",404,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
"mutualistic","u","down","windsurfers","Windsurfer",43,0.0,-4.0,0.01,0.05,"NA",83,-3.313131
"mutualistic","u","down","yeast","S. cerevisiae",664,0.0,-3.0,0.01,0.05,"NA",93,-2.787879
